Value	Name
0x5090	PropertyTagLuminanceTable
0x5091	PropertyTagChrominanceTable
0x5100	PropertyTagFrameDelay
0x5101	PropertyTagLoopCount
0x5102	PropertyTagGlobalPalette
0x5103	PropertyTagIndexBackground
0x5104	PropertyTagIndexTransparent
0x5110	PropertyTagPixelUnit
0x5111	PropertyTagPixelPerUnitX
0x5112	PropertyTagPixelPerUnitY
0x5113	PropertyTagPaletteHistogram
0x8298	PropertyTagCopyright
0x829A	PropertyTagExifExposureTime
0x829D	PropertyTagExifFNumber
0x8769	PropertyTagExifIFD
0x8773	PropertyTagICCProfile
0x8822	PropertyTagExifExposureProg
0x8824	PropertyTagExifSpectralSense
0x8825	PropertyTagGpsIFD
0x8827	PropertyTagExifISOSpeed
0x8828	PropertyTagExifOECF
0x9000	PropertyTagExifVer
0x9003	PropertyTagExifDTOrig
0x9004	PropertyTagExifDTDigitized
0x9101	PropertyTagExifCompConfig
0x9102	PropertyTagExifCompBPP
0x9201	PropertyTagExifShutterSpeed
0x9202	PropertyTagExifAperture
0x9203	PropertyTagExifBrightness
0x9204	PropertyTagExifExposureBias
0x9205	PropertyTagExifMaxAperture
0x9206	PropertyTagExifSubjectDist
0x9207	PropertyTagExifMeteringMode
0x9208	PropertyTagExifLightSource
0x9209	PropertyTagExifFlash
0x920A	PropertyTagExifFocalLength
0x927C	PropertyTagExifMakerNote
0x9286	PropertyTagExifUserComment
0x9290	PropertyTagExifDTSubsec
0x9291	PropertyTagExifDTOrigSS
0x9292	PropertyTagExifDTDigSS
0xA000	PropertyTagExifFPXVer
0xA001	PropertyTagExifColorSpace
0xA002	PropertyTagExifPixXDim
0xA003	PropertyTagExifPixYDim
0xA004	PropertyTagExifRelatedWav
0xA005	PropertyTagExifInterop
0xA20B	PropertyTagExifFlashEnergy
0xA20C	PropertyTagExifSpatialFR
0xA20E	PropertyTagExifFocalXRes
0xA20F	PropertyTagExifFocalYRes
0xA210	PropertyTagExifFocalResUnit
0xA214	PropertyTagExifSubjectLoc
0xA215	PropertyTagExifExposureIndex
0xA217	PropertyTagExifSensingMethod
0xA300	PropertyTagExifFileSource
0xA301	PropertyTagExifSceneType
0xA302	PropertyTagExifCfaPattern
